id;nazwa;opis;Column1
;;;
0;Kursy BACK-END;Jeœli kupisz kurs stacjonarny lub weekendowy, a bêd¹ wymaga³y tego okolicznoœci to umo¿liwimy Ci udzia³ w zajêciach poprzez tryb Wirtualnej Klasy. Zajêcia bêd¹ prowadzone w ustalonych dniach i godzinach oraz “live” z wyk³adowcami i grup¹.Wykorzystaj czas, wybierz kurs dla siebie i wejdŸ do œwiata IT!;Java Developer |Python Developer |Node.js dla programistów
;;;
1;Kursy FRONT-END;Jeœli kupisz kurs stacjonarny lub weekendowy, a bêd¹ wymaga³y tego okolicznoœci to umo¿liwimy Ci udzia³ w zajêciach poprzez tryb Wirtualnej Klasy. Zajêcia bêd¹ prowadzone w ustalonych dniach i godzinach oraz “live” z wyk³adowcami i grup¹.Wykorzystaj czas, wybierz kurs dla siebie i wejdŸ do œwiata IT!;JavaScript Developer |JS, React, Redux dla Programistów
;;;
2;Kursy IT;Jeœli kupisz kurs stacjonarny lub weekendowy, a bêd¹ wymaga³y tego okolicznoœci to umo¿liwimy Ci udzia³ w zajêciach poprzez tryb Wirtualnej Klasy. Zajêcia bêd¹ prowadzone w ustalonych dniach i godzinach oraz “live” z wyk³adowcami i grup¹.Wykorzystaj czas, wybierz kurs dla siebie i wejdŸ do œwiata IT!;Tester Automatyzuj¹cy |Tester Manualny |Python - analiza danych |SQL – Analiza Danych |Wizualizacja Danych |SCRUMstudy Scrum Developer Certified (SDC™)
;;;
3;Kursy ZDALNE;Jeœli kupisz kurs stacjonarny lub weekendowy, a bêd¹ wymaga³y tego okolicznoœci to umo¿liwimy Ci udzia³ w zajêciach poprzez tryb Wirtualnej Klasy. Zajêcia bêd¹ prowadzone w ustalonych dniach i godzinach oraz “live” z wyk³adowcami i grup¹.Wykorzystaj czas, wybierz kurs dla siebie i wejdŸ do œwiata IT!;Tester Automatyzuj¹cy |JavaScript Developer |Tester Manualny |Python - analiza danych |SQL – Analiza Danych |Wizualizacja Danych |SCRUMstudy Scrum Developer Certified (SDC™)
;;;
4;Kursy dla œrednio zaawansowanych;Jeœli kupisz kurs stacjonarny lub weekendowy, a bêd¹ wymaga³y tego okolicznoœci to umo¿liwimy Ci udzia³ w zajêciach poprzez tryb Wirtualnej Klasy. Zajêcia bêd¹ prowadzone w ustalonych dniach i godzinach oraz “live” z wyk³adowcami i grup¹.Wykorzystaj czas, wybierz kurs dla siebie i wejdŸ do œwiata IT!;JS, React, Redux dla Programistów |Node.js dla programistów |Docker - Wstêp do Konteneryzacji |Python - analiza danych |SQL – Analiza Danych |Wizualizacja Danych |Test Lab
;;;
5;Black Friday 2021;W ramach Black Friday otrzymasz od nas:- 3 000 z³ zni¿ki na kursy programistyczne w pakiecie Premium z kodem BF3000,- 2 000 z³ zni¿ki na kursy programistyczne w pakiecie Profesjonalnym z kodem BF2000,- 1 000 z³ zni¿ki na kursy programistyczne w pakiecie Podstawowym z kodem BF1000,- 500 z³ zni¿ki na kurs testerski we wszystkich pakietach z kodem BF500.;JavaScript Developer |Python Developer |Java Developer |Tester Manualny
;;;
